iteration,r1c1,r1c3,r1c4,r1c5,r1c6,r2c1,r2c2,r2c3,r2c4,r2c6,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r5c1,r5c5,r5c6,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6
1721,99.9999969226994,95.01954745115336,93.83778077468448,92.60538945483431,93.28379380968435,98.38057264028151,95.86766077665368,94.51647174695678,94.36726189343705,90.87377140460973,96.92204479441173,95.54897837813142,93.25605297935245,93.13410104976292,93.05939814119067,91.7412133911442,95.51396222113507,94.40222742264261,93.17304476461247,91.07064915690943,91.76070428862188,91.83501742462461,94.26067088324936,89.49420761868232,90.50306362239648,92.87236445322276,91.65201074336588,90.44687341393113,89.25676273448936,88.49889728771724,89.22288256342846
1722,99.9999969534724,95.01954748192637,93.8377808054575,92.6053894856073,93.28379384045736,98.38057267105451,95.86766080742669,94.51647177772979,94.36726192421007,90.87377143538274,96.92204482518474,95.54897840890445,93.25605301012544,93.13410108053591,93.05939817196368,91.74121342191721,95.5139622519081,94.40222745341562,93.17304479538547,91.07064918768243,91.76070431939489,91.8350174553976,94.26067091402236,89.49420764945533,90.50306365316949,92.87236448399578,91.65201077413887,90.44687344470415,89.25676276526235,88.49889731849028,89.22288259420145
1723,99.99999698393768,95.01954751239165,93.83778083592277,92.60538951607259,93.28379387092264,98.3805727015198,95.86766083789196,94.51647180819506,94.36726195467534,90.87377146584802,96.92204485565001,95.5489784393697,93.25605304059074,93.1341011110012,93.05939820242894,91.7412134523825,95.51396228237337,94.4022274838809,93.17304482585077,91.07064921814771,91.76070434986016,91.83501748586289,94.26067094448766,89.4942076799206,90.50306368363476,92.87236451446104,91.65201080460417,90.44687347516943,89.25676279572765,88.49889734895555,89.22288262466672
1724,99.9999970140983,95.01954754255227,93.8377808660834,92.60538954623321,93.28379390108326,98.38057273168042,95.8676608680526,94.51647183835571,94.36726198483596,90.87377149600864,96.92204488581064,95.54897846953034,93.25605307075134,93.13410114116182,93.05939823258957,91.7412134825431,95.51396231253399,94.40222751404153,93.1730448560114,91.07064924830833,91.76070438002078,91.83501751602353,94.26067097464828,89.49420771008124,90.5030637137954,92.87236454462169,91.65201083476478,90.44687350533006,89.25676282588826,88.49889737911617,89.22288265482734
1725,99.99999704395731,95.0195475724113,93.83778089594243,92.60538957609224,93.28379393094228,98.38057276153943,95.8676608979116,94.51647186821472,94.36726201469502,90.87377152586765,96.92204491566966,95.54897849938934,93.25605310061039,93.13410117102083,93.0593982624486,91.74121351240214,95.51396234239301,94.40222754390054,93.17304488587041,91.07064927816735,91.7607044098798,91.83501754588252,94.26067100450729,89.49420773994024,90.50306374365442,92.87236457448071,91.65201086462382,90.44687353518907,89.25676285574728,88.4988974089752,89.22288268468637
1726,99.99999707351773,95.01954760197174,93.83778092550286,92.60538960565266,93.2837939605027,98.38057279109985,95.86766092747202,94.51647189777515,94.36726204425543,90.87377155542809,96.92204494523008,95.54897852894977,93.25605313017078,93.1341012005813,93.05939829200902,91.74121354196255,95.51396237195344,94.40222757346098,93.17304491543084,91.07064930772778,91.76070443944023,91.83501757544298,94.26067103406773,89.49420776950069,90.50306377321483,92.87236460404111,91.65201089418426,90.44687356474951,89.25676288530772,88.4988974385356,89.22288271424681
1727,99.99999710278256,95.01954763123656,93.8377809547677,92.60538963491749,93.28379398976753,98.38057282036468,95.86766095673684,94.51647192703996,94.36726207352027,90.87377158469292,96.92204497449491,95.5489785582146,93.25605315943562,93.13410122984611,93.05939832127386,91.74121357122738,95.51396240121827,94.4022276027258,93.17304494469565,91.07064933699263,91.76070446870504,91.83501760470779,94.26067106333254,89.49420779876549,90.50306380247967,92.87236463330596,91.65201092344904,90.44687359401435,89.25676291457255,88.49889746780043,89.2228827435116
1728,99.99999713175472,95.01954766020874,93.83778098373986,92.60538966388967,93.28379401873971,98.38057284933684,95.86766098570902,94.51647195601213,94.36726210249242,90.8737716136651,96.92204500346708,95.54897858718677,93.2560531884078,93.1341012588183,93.05939835024604,91.74121360019957,95.51396243019045,94.40222763169797,93.17304497366784,91.0706493659648,91.76070449767724,91.83501763367994,94.26067109230472,89.49420782773765,90.50306383145184,92.87236466227813,91.65201095242124,90.44687362298649,89.25676294354473,88.4988974967726,89.22288277248379
1729,99.99999716043718,95.0195476888912,93.83778101242233,92.60538969257213,93.28379404742215,98.3805728780193,95.86766101439147,94.5164719846946,94.36726213117485,90.87377164234755,96.92204503214951,95.54897861586923,93.25605321709024,93.13410128750074,93.05939837892849,91.74121362888202,95.51396245887288,94.40222766038043,93.17304500235029,91.07064939464726,91.7607045263597,91.83501766236243,94.26067112098718,89.49420785642015,90.50306386013428,92.87236469096057,91.6520109811037,90.44687365166895,89.25676297222716,88.49889752545505,89.22288280116625
1730,99.99999718883281,95.01954771728681,93.83778104081794,92.60538972096778,93.28379407581778,98.38057290641491,95.8676610427871,94.51647201309021,94.36726215957052,90.87377167074315,96.92204506054514,95.54897864426485,93.25605324548587,93.13410131589634,93.05939840732412,91.74121365727765,95.51396248726851,94.40222768877604,93.17304503074591,91.07064942304288,91.76070455475532,91.83501769075806,94.26067114938279,89.49420788481578,90.50306388852995,92.87236471935623,91.6520110094993,90.44687368006458,89.2567630006228,88.49889755385072,89.22288282956187
